Periodo,Dolar,year,mes,dia
2016-01-01,,2016,01,01
2016-01-02,,2016,01,02
2016-01-03,,2016,01,03
2016-01-04,710.16,2016,01,04
2016-01-05,716.94,2016,01,05
2016-01-06,715.08,2016,01,06
2016-01-07,715.84,2016,01,07
2016-01-08,721.31,2016,01,08
2016-01-09,,2016,01,09
2016-01-10,,2016,01,10
2016-01-11,723.31,2016,01,11
2016-01-12,729.78,2016,01,12
2016-01-13,730.28,2016,01,13
2016-01-14,726.57,2016,01,14
2016-01-15,725.98,2016,01,15
2016-01-16,,2016,01,16
2016-01-17,,2016,01,17
2016-01-18,730.31,2016,01,18
2016-01-19,730.2,2016,01,19
2016-01-20,726.19,2016,01,20
2016-01-21,729.22,2016,01,21
2016-01-22,726.63,2016,01,22
2016-01-23,,2016,01,23
2016-01-24,,2016,01,24
2016-01-25,715.63,2016,01,25
2016-01-26,717.46,2016,01,26
2016-01-27,720.14,2016,01,27
2016-01-28,716.21,2016,01,28
2016-01-29,711.72,2016,01,29
2016-01-30,,2016,01,30
2016-01-31,,2016,01,31
2016-02-01,710.37,2016,02,01
2016-02-02,714.44,2016,02,02
2016-02-03,713.54,2016,02,03
2016-02-04,709.43,2016,02,04
2016-02-05,698.49,2016,02,05
2016-02-06,,2016,02,06
2016-02-07,,2016,02,07
2016-02-08,700.02,2016,02,08
2016-02-09,709.75,2016,02,09
2016-02-10,715.41,2016,02,10
2016-02-11,711.34,2016,02,11
2016-02-12,713.47,2016,02,12
2016-02-13,,2016,02,13
2016-02-14,,2016,02,14
2016-02-15,708.63,2016,02,15
2016-02-16,701.39,2016,02,16
2016-02-17,704.92,2016,02,17
2016-02-18,705.44,2016,02,18
2016-02-19,700.74,2016,02,19
2016-02-20,,2016,02,20
2016-02-21,,2016,02,21
2016-02-22,702.38,2016,02,22
2016-02-23,693.78,2016,02,23
2016-02-24,693.23,2016,02,24
2016-02-25,698.47,2016,02,25
2016-02-26,691.36,2016,02,26
2016-02-27,,2016,02,27
2016-02-28,,2016,02,28
2016-02-29,689.18,2016,02,29
2016-03-01,694.17,2016,03,01
2016-03-02,694.82,2016,03,02
2016-03-03,688.48,2016,03,03
2016-03-04,686.64,2016,03,04
2016-03-05,,2016,03,05
2016-03-06,,2016,03,06
2016-03-07,681.39,2016,03,07
2016-03-08,681.63,2016,03,08
2016-03-09,682.0,2016,03,09
2016-03-10,678.72,2016,03,10
2016-03-11,678.22,2016,03,11
2016-03-12,,2016,03,12
2016-03-13,,2016,03,13
2016-03-14,683.0,2016,03,14
2016-03-15,684.74,2016,03,15
2016-03-16,685.98,2016,03,16
2016-03-17,688.11,2016,03,17
2016-03-18,672.06,2016,03,18
2016-03-19,,2016,03,19
